Symbol,Date,Open,High,Low,Close,Volume
TSLA,15-Mar-2019,283.51,283.72,274.4,275.43,14778300
TSLA,18-Mar-2019,276,278.05,267.3,269.2,10274300
TSLA,19-Mar-2019,267.5,273.3,263.46,267.47,11798600
TSLA,20-Mar-2019,269.69,274.97,266.3,273.6,6906000
TSLA,21-Mar-2019,272.6,276.45,268.45,274.02,5947000
TSLA,22-Mar-2019,272.58,272.8,264,264.53,8745600
TSLA,25-Mar-2019,259.71,263.18,254.46,260.42,10215000
TSLA,26-Mar-2019,264.44,270.26,264.43,267.77,7350500
TSLA,27-Mar-2019,268.75,275.37,268.18,274.83,8792300
TSLA,28-Mar-2019,277.16,280.33,275.1,278.62,6774000
TSLA,29-Mar-2019,278.7,280.16,274.5,279.86,5991300
TSLA,01-Apr-2019,282.62,289.2,281.281,288.51,8109600
TSLA,02-Apr-2019,288.3,289.44,283.88,285.88,5464900
TSLA,03-Apr-2019,287.32,296.17,287.17,291.81,7928300
TSLA,04-Apr-2019,261.89,271.2,260.59,267.78,23717500
TSLA,05-Apr-2019,269.86,276.1,266.11,274.96,13034400
TSLA,08-Apr-2019,277.69,281.16,270.44,273.2,10402500
TSLA,09-Apr-2019,271.65,275,269.61,272.31,5902300
TSLA,10-Apr-2019,276.74,278.38,272.89,276.06,7057100
TSLA,11-Apr-2019,268.3,270.5,265.6,268.42,9829100
TSLA,12-Apr-2019,270.22,271.95,266.83,267.7,6745300
TSLA,15-Apr-2019,268.63,268.88,258.63,266.38,10037100
TSLA,16-Apr-2019,265.75,275,264.72,273.36,7271800
TSLA,17-Apr-2019,274.75,274.79,268.54,271.23,5124500
TSLA,18-Apr-2019,271.23,274.84,269.75,273.26,5875300
TSLA,19-Apr-2019,273.26,273.26,273.26,273.26,0
TSLA,22-Apr-2019,269,269.68,262.48,262.75,12138400
TSLA,23-Apr-2019,260.15,265.6,255.75,263.9,10940200
TSLA,24-Apr-2019,263.85,265.32,258,258.66,10693300
TSLA,25-Apr-2019,255,259,246.07,247.63,21843700
TSLA,26-Apr-2019,246.5,246.68,231.13,235.14,22340400
